	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00704992	7	0	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00707488	7	0	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00709568	7	0	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00709568	7	0	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00712912	7	1	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00714992	7	1	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00714992	7	1	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00717488	7	1	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00719568	7	1	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00719568	7	1	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00722912	7	2	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00724992	7	2	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00724992	7	2	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00727488	7	2	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00729568	7	2	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00729568	7	2	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00732912	7	3	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00734992	7	3	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00734992	7	3	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00737488	7	3	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00739568	7	3	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00739568	7	3	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00742912	7	4	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00744992	7	4	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00744992	7	4	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00747488	7	4	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00749568	7	4	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00749568	7	4	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00752912	7	5	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00754992	7	5	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00754992	7	5	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00757488	7	5	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00759568	7	5	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00759568	7	5	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00762912	7	6	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00764992	7	6	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00764992	7	6	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00767488	7	6	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00769568	7	6	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00769568	7	6	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00772912	7	7	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00774992	7	7	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00774992	7	7	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00777488	7	7	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00779568	7	7	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00779568	7	7	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00782912	7	8	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00784992	7	8	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00784992	7	8	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00787488	7	8	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00789568	7	8	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00789568	7	8	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00792912	7	9	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00794992	7	9	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00794992	7	9	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00797488	7	9	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00799568	7	9	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00799568	7	9	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00802912	8	0	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00804992	8	0	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00804992	8	0	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
